id,title,speaker,abstract,track,score
PGCONF_7176,The Foundation of Open Source: Why Software Freedom?,Karen Sandler,"Open source has become the backbone of society's software. Critical projects like PostgreSQL power some of the most important software in the industry. While many aspects of Open Source make software successful, such as its collaborative development model and price, these features are all underpinned and guaranteed by the software freedom that Open Source licenses provide. In this talk, Karen will explore why software freedom is essential to modern day computing, as well as to every day life.",PGConf.EU,
PGCONF_6838,Don't do that!,Laurenz Albe,"Rather than presenting best practices, I'll show a number of design choices that have repeatedly caused problems for users. Learn from the errors of others! Topics include: - choosing the wrong data type - choosing ""integer"" as data type for primary keys - defining columns nullable - using Large Objects - defining dangerous CHECK constraints - lying about IMMUTABLE - choosing an entity-attribute-value design",App Developer (45 minutes),
PGCONF_7138,From Stars to Storage Engines: Migrating Big Science Workloads Beyond Greenplum,Joaquim Oliveira,"We archive massive datasets to map the stars in ESA’s Gaia mission and unlock the secrets of dark matter and dark energy with Euclid. Today, these are living on Greenplum — but shifting away from Open Source Software demands have us exploring new directions: migrating to Citus or adopting EDB’s next-generation Greenplum-based warehouse. In this talk, we’ll share how we’re rethinking architecture, tools, and operations to handle petabyte-scale astronomy workloads. We’ll cover the practical pros and cons of each option, the administrative shifts required, and the hurdles we face moving such critical operations between engines. Attendees will leave with real-world lessons and key questions to ask before starting a migration of their own.",DBA (45 minutes),
PGCONF_6935,"Behind Postgres 18: The People, the Code, & the Invisible Work",Claire Giordano,"Ever wonder who makes Postgres happen? Not just the new features in Postgres 18—but the people, the processes, and the invisible work that brings each new release to life? Let’s find out. In an open source project like Postgres, recognizing the behind-the-scenes volunteer work isn’t just nice—it’s necessary. This revamped version of last year’s PGConf EU talk shares a fresh analysis of the contributions to Postgres in the v18 timeframe. Like last year’s talk, this research is done by Postgres committer Daniel Gustafsson and Claire Giordano—and builds on community data sources including commit logs, mailing lists, and the PostgreSQL.org site. You’ll see maps and charts as you learn about the people behind governance, conferences, meetups, infrastructure, and the code. But this year there will be new insights—and more stories. Like: who translates all the error messages? And what went into making PGConf.dev feel so magical? You’ll leave with a deeper appreciation for the full spectrum of work behind a Postgres release—and a few concrete ideas for how we can better recognize the people who make it happen. Because when we recognize the people doing this work, it’s more than a thank you—it’s how we grow the next generation of contributors.",Community (45 minutes),
PGCONF_7177,From Transactions to Intelligence: Postgres for Open AI & Analytics,Torsten Steinbach,"Postgres has thrived for decades as the world’s most trusted open-source database, powering an extraordinary share of transactional workloads across industries. But the data landscape is shifting: analytics and AI demand far richer data modalities, more diverse programming models, and new ways of consuming data. To meet this future, Postgres must not only endure — it must evolve. In this talk, we’ll explore three powerful pathways driving that evolution. First, the organic path, where Postgres itself grows new capabilities — think WarehousePG for analytics or pgvector and friends for AI. Second, the hybrid path, where Postgres joins forces with other open-source engines like DataFusion and open metadata frameworks such as Iceberg REST catalogs. And third, the augmented path, where Postgres extends into entirely new ecosystems — becoming a first-class citizen in agentic AI through robust MCP-driven tooling.",Sponsors,
PGCONF_7067,Anonymizing Data in Postgres Without Losing Your Mind (or Your Schema),"Ahmet Gedemenli, Esther Miñano Sanz","Scrubbing sensitive data in PostgreSQL can feel like a chore, especially when you're trying to do it safely, flexibly, and without rewriting your entire schema. Many teams face the need for column-level anonymization when working with production clones, analytics pipelines, or complying with regulations like GDPR. Doing it well can be a real challenge. In this talk, we’ll walk through modern, practical ways to anonymize data in Postgres. We’ll cover how to mask or hash specific columns, handle nested fields (like JSON), and even apply different rules based on data values, all without touching the original database structure. You’ll see examples of redaction, pseudonymization, and other transformations that keep your data useful while protecting what matters. We’ll also compare popular open-source tools like pg_anonymize, known for in-database anonymization, with platforms like Greenmask and NeoSync that focus on masking and secure data syncing. Some of these tools are integrated directly into pgstream, enabling seamless, real-time data transformations as part of logical replication workflows. To bring it all together, we’ll look at how pgstream, an open-source tool that uses logical replication and supports plug-and-play data transformers, can help apply these anonymization techniques in real time. pgstream integrates with several of the open-source tools mentioned earlier, allowing you to set up custom or built-in anonymization rules with simple configuration and without requiring major changes to your database. If you’ve ever needed to clean up sensitive data before sending it downstream (or just wanted a cleaner way to do it), this talk will give you the tools and ideas to make it happen.",App Developer (25 minutes),
PGCONF_6975,Parsing Postgres logs the non-pgBadger way,Kaarel Moppel,"pgBadger has been a staple in the community for over a decade, and deserves a nod for sure. But at the same time one also has to acknowledge that the world has changed a ""bit"" during that time. Are there some log parsing use cases that are better served with something else? What are the current options besides ad-hoc grep? This talk is a look at a fresh effort to provide an alternative Open Source log parser to complement pgBadger. We'll look at how pgweasel tries to be: - way faster - way simpler - concentrating on the Pareto DBA flow and the CLI experience - more cloud-friendly - require zero configuration - more user-friendly",DBA (25 minutes),
PGCONF_7009,Data modeling with PostgreSQL at the core of Software Development,Boriss Mejias,"Data structures and their relationships are key to software design. For most, how data is organized is even more important than the application code itself, because the code, the flowcharts and the processes will be derived and become straightforward from the data structure and their relationships. Learning how to model your data and how to design your schema in PostgreSQL becomes fundamental to create a successful software project. How would you store and organize the data? Which data types would you use? Will there be any constraints? And most importantly, which types of questions will your application be able to answer directly from the data? Honoring Mikhail Tal, the Magician from Riga, eighth World Chess Champion, in this talk we will go through the design of an application to track the results of a chess tournament. You will learn some principles of data modeling, letting PostgreSQL guarantee data integrity. We will see how to build the business logic of the application in the data model itself, giving you extra powers as a software developer.",App Developer (25 minutes),
PGCONF_7008,Boosting Typical Query Patterns: PostgreSQL 18's Performance Enhancements,Roberto Mello,"As with previous releases, PostgreSQL 18 introduces many performance improvements that directly benefit everyday database tasks. Beyond doing an overview of the performance improvements, this talk will go over these changes and compare the performance of popular applications using PostgreSQL 16, 17 and 18, to highlight the improvements in PG 18. The optimizer now automatically eliminates unnecessary self-joins, converts IN (VALUES ...) to x = ANY ... for better statistics, and transforms OR-clauses into arrays for faster index processing. It also speeds up INTERSECT, EXCEPT, window aggregates, and optimizes SELECT DISTINCT and GROUP BY queries by reordering keys and ignoring redundant columns. This talk will walk through these and many more, while showing data from running applications.",App Developer (45 minutes),
PGCONF_6982,"Vector data in Postgres: Size, TOAST, Filters and Performance",Gleb Otochkin,"AI applications are changing how we use databases, and vector data is at the center of this change. By enabling semantic search within domain datasets, vectors allow for more intelligent and nuanced queries. But managing this data effectively requires understanding the challenges of vector size and its impact on storage and performance. This presentation explores practical strategies for storing, indexing, and querying vector data in operational databases and different factors impacting performance and management. Learn how to optimize your database for AI-powered applications and unlock the full potential of vector search.",DBA (45 minutes),
PGCONF_6952,Improved Freezing in Postgres Vacuum: From Idea to Commit,Melanie Plageman,"This talk uses the recently committed eager scanning feature as a case study to walk through the Postgres feature development process. It’s meant to give prospective contributors a realistic look at what it takes to get a feature committed and to help users better understand how Postgres evolves and how they can benefit from these changes. Anti-wraparound vacuums are one of the most consistent Postgres user complaints. This talk explains how freeze debt accumulates, how it varies based on table access patterns, and how Postgres attempts to manage it. Eager scanning started as a proposal on pgsql-hackers to preemptively freeze modified pages using per-table access pattern statistics. Over years of discussion and experimentation (including evaluating and discarding many empirical models and approaches), the shape of both the problem and solutions evolved. This talk dives into what made designing an adaptive feature in Postgres so difficult: extreme constraints, second-order effects, code complexity, and the sheer variety of workloads Postgres must support. The final committed feature is simpler than the original idea: it eagerly scans all-visible but not all-frozen pages to amortize the cost of aggressive vacuums. It doesn’t try to predict access patterns or freeze lifespan, but it’s effective, maintainable, and is a step toward addressing the core problem. Finally, the talk will explain how users can expect this change to reduce the frequency and impact of anti-wraparound vacuums in their own workloads.",Postgres Internals (45 minutes),
PGCONF_7180,What we built with Open Source,Hans-Jürgen Schönig,"After more than 25 years working with PostgreSQL, we’ve seen it all, from clever hacks to some of the most ambitious deployments out there. PostgreSQL’s rich ecosystem makes it possible to cover just about every need, including monitoring, tuning, automation, compliance, scalability, and high availability. In this talk, we’ll take you behind the scenes and show you what we’ve built along the way: open-source contributions, customer solutions, and custom projects designed to solve real-world problems. Join us for a tour of cool ideas, battle-tested tools, and lessons learned from the field.",Sponsors,
PGCONF_6800,Practical Guide to Migrating +100 Large PostgreSQL to the Cloud,Nelson Calero,"Migrating a large fleet of PostgreSQL databases to a managed service is a journey filled with opportunities and potential pitfalls. This is especially true when dealing with numerous multi-terabyte databases and particular cases such as migrating from an old version, using inheritance, PostGIS, moving to GCP Service accounts, and changing database assignment to instances. This session shares the real-world experience of migrating more than 100 PostgreSQL databases, ranging in size from gigabytes to multiple terabytes, from traditional virtual machines to a managed cloud service, specifically Google Cloud SQL for PostgreSQL. We will share lessons learned, covering planning, execution, and problems encountered, with practical advice to save you time, resources, and headaches during a similar migration. Key discussion areas will include tooling selection, pre-migration assessments, choosing the right instance type, optimizing the migration process for large datasets, strategies for minimizing downtime, and essential post-migration validation and performance tuning. This session is a must-attend for anyone considering or currently executing a large-scale PostgreSQL migration to a managed service and wants to learn from real-world successes and challenges.",DBA (45 minutes),
PGCONF_6817,Operational hazards of managing PostgreSQL DBs over 100TB,Teresa Lopes,"Picture this: you start a new role, eager to learn and contribute with your ideas! Your next task is to get familiar with the database setup, and then you start encountering these massive PostgreSQL databases — 100TB, 200TB, 300TB... And you start questioning yourself: how do you backup (and restore) a +100TB database? And how about HA? Performance? Vacuum? It should work the same way as for a 100GB database, right? Well, maybe not exactly. Blog posts and best practice guides make PostgreSQL seem straightforward—until you push it to its limits. At extreme scale, you will find yourself questioning the most fundamental assumptions about how PostgreSQL works. Over the last years, my team at Adyen has been exploring the boundaries of what PostgreSQL can do, and today I will share our findings with you (at least the ones I can!).",DBA (45 minutes),
PGCONF_7103,"Barman, past, present, and future of a pioneer community project","Giulio Calacoci, Martín Marqués","Barman is one of the first Backup and Recovery management tool for Postgres, released as an open-source tool by 2ndQuadrant, with lots of adopters in the last decade. In this talk, we will go over the history of Barman as a community project, from its beginning to the current state of affairs. We will be showing the great achievements, the pain-point moments, and the future. We hope to: * Enlighten people with Backup and Recovery insights (yes, we will talk about Backups) * Share how the teams have interacted with the community, balancing the customer requests with community proposals * Go over these 13 years of open source development * Describe where we plan to take the project in the future, in terms of development features, and engagement with the community We hope to leave an itch to either join our community or start your own community project, preferably in the Postgres ecosystem.",Community (45 minutes),
PGCONF_7184,Unlock PostgreSQL’s True Performance with Local SSDs,Burak Yucesoy,"Cloud storage was built around the limits of old hardware. Spinning hard drives (HDDs) were slow and fragile. So, early on, cloud providers moved storage off of servers. They used network-attached disks to boost durability and scalability. But hardware has evolved. Today, you can get 2.5 million IOPS from a $600 NVMe SSD. Achieving the same throughput through network-attached storage in the cloud can cost hundreds of thousands of dollars per month. With NVMe SSDs now faster, cheaper, and more reliable, it's time to rethink PostgreSQL storage. In this talk, we’ll walk through different disk architectures and their impacts on PostgreSQL performance, how we got here, what’s changed, and why local NVMe SSDs are the future for PostgreSQL storage. We'll also share benchmarks comparing performance on different disk architectures and share results from real life case studies.",Sponsors,
PGCONF_6868,Normalize or De-normalize? Relational SQL Columns or JSON Document Attributes?,Franck Pachot,"Data modeling has progressed beyond traditional SQL Normal Forms and the unstructured storage of early NoSQL systems. Modern applications demand flexible data models that merge normalized entities with semi-structured documents. Contemporary SQL databases now support binary JSON columns and offer APIs similar to MongoDB (such as FerretDB for PostgreSQL). Furthermore, NoSQL databases have evolved to allow normalized collections and provide transactional operations. However, key questions remain: When should multiple entities be embedded within a single JSONB document? And when is it more efficient to define a relational column instead of a sub-document attribute? This session will clarify the distinction between physical and logical data modeling. Denormalization can enhance physical storage by placing frequently accessed data together, while normalization is essential for maintaining logical data integrity and preventing issues related to redundancy. By the end of this session, you will understand how to balance these two approaches to create data models that are efficient, maintainable, and adaptable to changing application requirements.",App Developer (45 minutes),
PGCONF_7133,What You Should Know About Constraints in PostgreSQL (and What’s New in 18),Gülçin Yıldırım Jelínek,"PostgreSQL 18 introduces significant enhancements to constraints, your first line of defense for maintaining data integrity. This talk focuses on the new capabilities brought by version 18, including non-overlapping PRIMARY KEY and UNIQUE constraints, named NOT NULL constraints, NOT ENFORCED constraints, and improved support for partitioned tables. We’ll look at what’s new, why it matters, and how to apply these features in real-world systems. We will begin with a brief refresher on the different types of constraints (CHECK, NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY) to help you get the most out of PostgreSQL’s declarative integrity model. Then we’ll go into details of what's new in PostgreSQL 18, including: * Named NOT NULL constraints and their inclusion to foreign tables * NOT ENFORCED constraints for CHECK and foreign keys * WITHOUT OVERLAPS * ALTER TABLE ... ALTER CONSTRAINT ... [NO] INHERIT * Enhanced handling of constraints on partitioned tables * Requirements around deterministic/nondeterministic collations in primary/foreign key relationships",DBA (45 minutes),
PGCONF_7056,What implementing pg_tde taught us about PostgreSQL,Jan Wieremjewicz,"This is a firsthand account of bringing Transparent Data Encryption to PostgreSQL through pg_tde. From idea to patch proposals, it’s a story of navigating PostgreSQL’s internals, Community realities, and trade-offs between extension and core changes. Why weren’t existing hooks enough? What friction did we hit? How was the experience with the Community feedback cycle? What customer feedback shaped the final design and how did users react to the proposed solutions? Based on years of work to deliver a critical enterprise capability, this talk is a diary of what it took to deliver Transparent Data Encryption as an extension to PostgreSQL, from a product manager who lived through it.",Community (45 minutes),
PGCONF_7179,DataGrip: A Powerful IDE for PostgreSQL,Maxim Sobolevskiy,"In this talk, Maxim Sobolevskiy is going to show what DataGrip is all about, from the basics to more complicated things like AI for SQL, databases in version control, and scripted mechanisms for data export. What will be covered: – Various types of IntelliSense, code snippets, expanding wildcards, and subqueries. – AI Assistant: Text-to-SQL, Fix with AI, and AI-based export. – Data editor: Editable result-sets, bulk and multiple submit, and transposing data. – Data import/export: Import/export from CSV, JSON, Excel, and INSERT statements, and export to other databases. – Navigation: Searching for database objects, data, SQL code, files, settings, and more. – Additional tools: Diagrams, user-defined parameters, and a powerful diff tool. DataGrip is built with one purpose in mind: to save developers from repetitive work. Join this session to find out how well it fulfills that purpose.",Sponsors,
